study,condition,qualification
study interventions are melphalan, childhood immunoblastic large cell lymphoma diagnosis and secondary massively_parallel signature sequencing_mpss with any ipss scores,0
study interventions are fludarabine, recurrent diffuse large cell lymphoma diagnosis and availability of human leukocyte antigen hla identical sibling donor,0
study interventions are rituximab, small lymphocytic lymphoma sll diagnosis and subjects must have adequate renal function with creatinine clearance of greater_than forty ml min as determined by the cockcroft gault calculation,0
study interventions are thalidomide, mantle cell lymphoma diagnosis and eastern cooperative oncology group performance status greater than two,0
"study interventions are antibodies, monoclonal", stage iiic skin melanoma diagnosis and complete resection of stage iii disease that is documented on the surgical and pathology reports or complete resection of stage iv disease with margins negative that is documented on the pathology report,0
study interventions are fludarabine phosphate, contiguous stage ii grade three follicular lymphoma diagnosis and myelosuppressive chemotherapy must be discontinued three weeks prior to conditioning with the exception of hydroxyurea or imatinib,0
study interventions are exemestane, patients with operable histologically confirmed adenocarcinoma of the female breast who have completed primary surgical treatment and meet the following criteria,0
study interventions are fluorodeoxyglucose f18, recurrent ovarian germ cell tumor diagnosis and creatinine within normal institutional limits or,0
study interventions are immunoglobulin g, refractory cutaneous cell non hodgkin lymphoma diagnosis and baseline skin biopsy taken within six months available for central review submission,0
study interventions are suramin, non small cell lung cancer diagnosis and classification of patient race and ancestry will be based on patient self identification on the consent form for the clinical trial,0
study interventions are fluorouracil, colorectal adenocarcinoma diagnosis and platelet count must be greater_than equal_than one hundred zero mm three,0
study interventions are fluorouracil, cholangiocarcinoma of the gallbladder diagnosis and eastern cooperative oncology group ecog performance status less_than two karnofsky greater_than sixty,0
study interventions are liposomal doxorubicin, bladder cancer diagnosis and no prior systemic chemotherapy,0
study interventions are vincristine, metastatic childhood soft tissue sarcoma diagnosis and shortening fraction greater_than equal_than twenty-seven by echocardiogram echo or ejection fraction greater_than equal_than fifty by radionuclide_angiogram,0
study interventions are cisplatin, diseases of oesophagus stomach and duodenum diagnosis and serum creatinine less_than equal_than doc mg dl,0
study interventions are liposomal doxorubicin, childhood alveolar soft part sarcoma diagnosis and shortening fraction greater_than twenty-seven by echocardiogram or ejection fraction greater_than fifty by radionuclide_angiogram,0
study interventions are albumin-bound paclitaxel, stage ivb squamous cell carcinoma of the oropharynx diagnosis and women of childbearing potential and male participants are counseled on birth control and must agree to use medically effective means of birth control throughout their participation in the treatment phase of the study until at least sixty days following the last study treatment,0
study interventions are mycophenolic acid, childhood burkitt lymphoma diagnosis and unrelated donors who are prospectively,0
study interventions are 10-deazaaminopterin, breast cancer diagnosis and female eighteen years of age or older,0
study interventions are etoposide phosphate, metastatic cerebral primitive neuroectodermal tumors diagnosis and age at diagnosis of pnet of more than ten years and less than twenty years,0
study interventions are dexamethasone acetate, plasma cell neoplasm diagnosis and if both serum and urine components are present both must be followed in order to evaluate response,0
study interventions are rituximab, lymphoma diagnosis and no comorbid systemic illness or other severe concurrent disease that in the judgment of the investigator would preclude study entry or significantly interfere with the proper assessment of safety and toxicity of the prescribed study regimen,0
study interventions are doxorubicin, should woman become pregnant or suspect she is pregnant while participating in this study she must inform her treating physician immediately,0
study interventions are tacrolimus, primary central nervous system non hodgkin lymphoma diagnosis and patients should have extinguished standard of care options prior to being considered for this trial,0
study interventions are mycophenolate mofetil, stage iv adult immunoblastic large cell lymphoma diagnosis and acute lymphoblastic leukemia,0
study interventions are etoposide, multiple myeloma diagnosis and participants with poor performance status three four based solely on bone pain will be eligible provided there is documentation to verify this,0
study interventions are fludarabine phosphate, noncontiguous stage ii adult burkitt lymphoma diagnosis and must be refractory to fludarabine patients who fail to have complete or partial response after therapy with regimen containing fludarabine or another nucleoside_analog two cladribine_cda pentostatin or experience disease relapse within 1two months after completing therapy with regimen containing fludarabine or another nucleoside_analog,0
study interventions are tacrolimus, recurrent marginal zone lymphoma diagnosis and patients treated on this study will have,0
study interventions are anastrozole, breast cancer diagnosis and completion of adjuvant chemotherapy and pathologically four or more positive lymph nodes,0
study interventions are doxorubicin, breast cancer diagnosis and informed consent,0
study interventions are paclitaxel, stage iiia primary peritoneal cancer diagnosis and absolute neutrophil count anc greater than or equal to one five hundred mcl equivalent to common terminology criteria for adverse events ctcae doc grade one,0
study interventions are fludarabine, non hodgkin lymphoma nhl,0
study interventions are sns01-t, multiple myeloma diagnosis and have an absolute neutrophil count greater_than one zero mmthree,0
study interventions are harmonic scalpel, thyroid neoplasm diagnosis and adult greater_than eighteen o,0
study interventions are albumin-bound paclitaxel, pancreatic cancer diagnosis and who ecog performance status less_than two,0
study interventions are melphalan, stage ii multiple myeloma diagnosis and pretreatment rays must be done within six weeks of registration copies of the bone ray reports are required and must be submitted with on study forms,0
study interventions are alvespimycin hydrochloride, stage iiib breast cancer diagnosis and platelet count greater_than equal_than one hundred zero mm three,0
study interventions are isophosphamide mustard, adult fibrosarcoma diagnosis and radiotherapy,0
study interventions are camptothecin, unspecified adult solid tumor protocol specific diagnosis and hiv negative,0
study interventions are cyclophosphamide, recurrent breast carcinoma diagnosis and estimated life expectancy greater_than equal_than eighty-four days three months,0
study interventions are mycophenolate mofetil, recurrent grade two follicular lymphoma diagnosis and matched for human leukocyte antigen hla b drbone and dqbone by high resolution typing,0
study interventions are mycophenolate mofetil, recurrent childhood lymphoblastic lymphoma diagnosis and hepatic transaminases less_than four upper limit normal uln total bilirubin less_than doc mg dl unless the patient has history of benign congenital hyperbilirubinemia gilbert syndrome,0
study interventions are exemestane, er positive breast cancer diagnosis and hemoglobin greater_than doc dl platelets greater_than ten doc ten9 anc greater_than doc ten9 without the use of hematopoietic growth factors creatinine less than doc times the upper limit of normal for the institution ast and alt less than doc times the upper limit of normal for the institution,0
study interventions are pharmacological study, recurrent ewing sarcoma peripheral primitive neuroectodermal tumor diagnosis and no concurrent medication to control arrhythmias,0
"study interventions are trimethoprim, sulfamethoxazole drug combination", multiple myeloma diagnosis and patients must have no active infection during the prior seven days and be off all antibiotics for the prior seven days,0
study interventions are rituximab, lymphoma diagnosis and life expectancy greater_than twelve weeks,0
study interventions are immunoglobulins, stage iii adult hodgkin lymphoma diagnosis and hiv one infection as documented by licensed hiv rapid test performed in conjunction with screening or elisa test kit and confirmed by western_blot or other approved test,0
study interventions are cetuximab, documented partial or complete response response evaluation criteria in solid tumors recist or,0
study interventions are tacrolimus, recurrent adult grade iii lymphomatoid granulomatosis diagnosis and any patient with hematologic or oncologic diagnosis in which allogeneic hsct is thought to be beneficial and in whom front line therapy has already been applied,0
study interventions are sirolimus, recurrent renal cell cancer diagnosis and no other significant cardiovascular disease,0
study interventions are thiotepa, recurrent marginal zone lymphoma diagnosis and all with any morphological evidence of disease will not be eligible,0
study interventions are temozolomide, recurrent childhood cerebral astrocytoma diagnosis and able to swallow capsules or liquid,0
study interventions are bleomycin, ovarian sex cord stromal tumor diagnosis and neuropathy sensory and motor less than or equal to ctcae grade one,0
study interventions are monitoring device, cancer survivor diagnosis and patient is self identified as african american,0
study interventions are temozolomide, cancer diagnosis and measurable disease by recist criteria,0
study interventions are cognitive assessment, stage ic ovarian cancer diagnosis and congestive heart failure,0
study interventions are bevacizumab, pancreatic ductal adenocarcinoma diagnosis and total bilirubin less_than equal_than two times control,0
study interventions are cisplatin, head and neck cancer diagnosis and age greater_than eighteen years and less_than sixty-five years,0
"study interventions are antibodies, monoclonal", lymphoma small cleaved cell follicular diagnosis and adequate renal function defined as serum creatinine less_than doc upper limit of normal and adequate hepatic function defined as total bilirubin less_than doc upper limit of normal and ast less_than fivex upper limit of normal within twenty-one days prior to study enrollment,0
study interventions are mycophenolate mofetil, recurrent refractory childhood hodgkin lymphoma diagnosis and must have less_than five marrow blasts at the time of transplant,0
study interventions are chemotherapy, breast cancer diagnosis and more than two weeks since prior and no concurrent regular use of any of the following,0
study interventions are bb 1101, recurrent childhood large cell lymphoma diagnosis and at least seven days since the completion of therapy with biologic agent,0
study interventions are etoposide phosphate, stage iv adult immunoblastic large cell lymphoma diagnosis and serum bilirubin less_than doc mg dl,0
study interventions are pharmacological study, recurrent ovarian epithelial cancer diagnosis and qtc less_than four hundred and fifty msec for male patients four hundred and seventy msec for female patients,0
study interventions are liposomal doxorubicin, liver cancer diagnosis and surgery allowed if previously unresectable lesions become resectable,0
study interventions are immunologic technique, recurrent renal cell cancer diagnosis and histologically confirmed diagnosis of metastatic clear cell rcc,0
study interventions are isophosphamide mustard, sarcoma diagnosis and one pulmonary nodule greater_than one cm in diameter or greater_than one nodule greater_than doc cm in diameter are considered evidence of pulmonary metastasis,0
study interventions are diphenhydramine, non hodgkin lymphoma nhl diagnosis and performance status of zero one two or three,0
study interventions are abemaciclib, osteosarcoma recurrent refractory diagnosis and newly diagnosed dipg,0
study interventions are albumin-bound paclitaxel, breast cancer diagnosis and life expectancy greater_than three months,0
study interventions are liposomal doxorubicin, lymphoma diagnosis and anc greater_than one five hundred mmÂ³ greater_than one zero mmÂ³ for patients with marrow infiltration,0
study interventions are albumin-bound paclitaxel, breast cancer diagnosis and all acute toxic effects of any prior radiotherapy chemotherapy or surgical procedure must have resolved to grade less than or equal to less_than equal_than one except alopecia any grade,0
study interventions are carboplatin, lung cancer diagnosis and age,0
study interventions are panobinostat, nodal lymphoma diagnosis and serum potassium magnesium phosphorus sodium total calcium corrected for serum albumin or ionized calcium within normal limits,0
study interventions are carboplatin, mesenchymal tumor diagnosis and no more than one prior chemotherapy,0
study interventions are immunoglobulin g, stage iiia skin melanoma diagnosis and more than four weeks since prior major surgery or open biopsy and recovered,0
study interventions are dexamethasone 21-phosphate, multiple myeloma diagnosis and patients may have received chemotherapy or wide field radiotherapy,0
study interventions are panobinostat, multiple myeloma in relapse diagnosis and anemia hypercalcemia lytic bone lesions renal insufficiency hyperviscosity amyloidosis or recurrent infections,0
study interventions are sorafenib, renal cancer diagnosis and supportive therapy including bisphosphonates is permissible,0
study interventions are prednisone, lymphoma diagnosis and not pregnant or nursing,0
study interventions are sirolimus, endometrial adenosquamous carcinoma diagnosis and upc ratio of spot urine is an estimation of the twenty-four urine protein excretion,0
study interventions are single photon emission computed tomography, cervical cancer diagnosis and patients must be good surgical candidates,0
study interventions are cisplatin, head and neck cancer diagnosis and radiotherapy,0
study interventions are interleukin-2, cancer diagnosis and patients must have southwest oncology group performance status of zero two as defined in section one doc,0
study interventions are octreotide, neuroendrocrine tumors diagnosis and the target lesion is one that either has never received external beam radiation or has been previously irradiated and has since demonstrated progression,0
study interventions are voriconazole, cancer diagnosis and not specified,0
study interventions are dna stability analysis," colorectal cancer diagnosis and seven hundred and ninety-four thousand, six hundred and four",0
study interventions are cisplatin, head and neck cancer diagnosis and absolute neutrophil count greater_than one five hundred mm three,0
study interventions are gefitinib, stage iia non small cell lung cancer diagnosis and four seven nine ten,0
study interventions are mycophenolic acid, childhood burkitt lymphoma diagnosis and may be treated in first cr,0
study interventions are staurosporine, unspecified adult solid tumor protocol specific diagnosis and negative pregnancy test,0
study interventions are zinc oxide, cervical cancer diagnosis and at least two weeks since prior and no other concurrent vitamins and zinc supplements,0
study interventions are quality-of-life assessment, liver cancer diagnosis and disease characteristics,0
study interventions are bevacizumab, glioblastoma diagnosis and signed informed consent approved by irb prior to pt entry,0
study interventions are epothilone b, stage iv breast cancer diagnosis and absolute neutrophil count greater_than equal_than one five hundred mm three,0
study interventions are ketogenic diet, head and neck neoplasms diagnosis and platelets greater_than one hundred zero mmthree,0
study interventions are sirolimus, recurrent grade one follicular lymphoma diagnosis and fertile patients must use effective contraception,0
study interventions are niacinamide, liver cancer diagnosis and life expectancy of at least twelve weeks,0
study interventions are shark cartilage extract ae-941, multiple myeloma and plasma cell neoplasm diagnosis and concurrent monthly bisphosphonate pamidronates infusions allowed,0
study interventions are levoleucovorin, stage iv colon cancer diagnosis and no concurrent antiplatelet agents dipyridamole ticlopidine clopidogrel or cilostazol,0
study interventions are talazoparib, adult solid neoplasm diagnosis and patients on part and part b,0
study interventions are bortezomib, stage iv urethral cancer diagnosis and cystic lesions,0
study interventions are prednisolone phosphate, carcinoma diagnosis and life expectancy greater_than twelve weeks,0
study interventions are methotrexate, lymphoma diagnosis and lansky greater_than fifty or karnofsky greater_than fifty,0
study interventions are methylprednisolone, lymphoma diagnosis and prior concurrent therapy,0
study interventions are epirubicin, breast cancer diagnosis and hemoglobin greater_than nine dl,0
study interventions are o(6)-benzylguanine, brain and central nervous system tumors diagnosis and stratum two,0
study interventions are cytarabine, plasmablastic lymphoma diagnosis and not pregnant or nursing with negative pregnancy test timeline,0
study interventions are metronidazole, stage prostate cancer diagnosis and patients must have normal pt inr within four weeks prior to randomization,0
study interventions are bevacizumab, oncocytoma,0
study interventions are cisplatin, active heart disease including myocardial infarction or congestive heart failure within the previous six months symptomatic coronary artery disease or symptomatic arrhythmias currently requiring medication,0
study interventions are fludarabine, recurrent adult hodgkin lymphoma diagnosis and with less_than six month duration of complete response cr between courses of conventional therapy,0
study interventions are ado-trastuzumab emtansine, incurable unresectable locally advanced bc previously treated with multimodality therapy or metastatic breast cancer mbc,0
study interventions are pembrolizumab, stage iii oropharyngeal squamous cell carcinoma diagnosis and doc uln unless patient is receiving anticoagulant therapy as long as pt or ptt is within therapeutic range of intended use of anticoagulants,0
study interventions are rituximab, non hodgkin lymphoma nhl diagnosis and alt ast less_than doc times the upper limit of normal uln total bilirubin less_than doc times uln creatinine less_than doc mg dl,0
study interventions are bevacizumab, stage iii ovarian epithelial cancer diagnosis and no prior anti vegf drug including bevacizumab,0
study interventions are sorafenib, hepatocellular carcinoma diagnosis and hcc invasion of first or second branch portal vein or hepatic vein or inferior vena_cava,0
study interventions are prostvac, prostatic neoplasms diagnosis and at least four weeks since prior radiation therapy and fully recovered,0
study interventions are doxorubicin, bclc stage adult hepatocellular carcinoma diagnosis and concomitant treatment with rifampin or st john wort is not allowed patients should discontinue these drugs at least four weeks prior to registration,0
study interventions are methotrexate, non hodgkin lymphoma diagnosis and acute myelogenous leukemia,0
study interventions are temozolomide, lung cancer diagnosis and no concurrent major medical illness or psychiatric impairment that in the investigator opinion would preclude study participation,0
study interventions are albumin-bound paclitaxel, fallopian tube cancer diagnosis and anc greater_than doc ten nine l,0
study interventions are thiotepa, recurrent adult burkitt lymphoma diagnosis and secondary aml prior therapy or hematologic malignancy,0
study interventions are prednisolone phosphate, patients with clinical radiographic or histologic diagnosis of infantile_hemangioma ih requiring medical treatment,0
study interventions are ifosfamide, childhood lymphocyte depletion hodgkin lymphoma diagnosis and fertile patients must use effective contraception,0
study interventions are fludarabine phosphate, metastatic melanoma diagnosis and seronegative for human immunodeficiency virus hiv antibody,0
study interventions are carboxymethylcellulose sodium, melanoma diagnosis and difficile colitis radiation proctitis bronchitis,0
study interventions are laboratory biomarker analysis, adult giant cell glioblastoma diagnosis and surgery must take place monday thursday with the exception of patients being treated at cleveland clinic university hospitals,0
study interventions are leuprolide, prostate cancer diagnosis and disease characteristics,0
"study interventions are antibodies, monoclonal", recurrent oropharyngeal squamous cell carcinoma diagnosis and patients must not be receiving chronic daily treatment with aspirin greater_than three hundred and twenty-five mg day or non steroidal anti inflammatory agents nsaid known to inhibit platelet function the use of anti platelet agents dipyridamole_persantine ticlopidine_ticlid clopidogrel_plavix is allowed only if patient is not receiving aspirin or nsaid known to inhibit platelet function,0
study interventions are mycophenolic acid, noncontiguous stage ii grade two follicular lymphoma diagnosis and donor,0
study interventions are nivolumab, stage iib non small cell lung carcinoma diagnosis and eastern cooperative oncology group ecog performance status zero one,0
study interventions are immunoglobulins, stage iii salivary gland cancer diagnosis and quinidine,0
study interventions are fluorouracil, patients without clearly defined palpable breast mass or axillary lymph nodes but radiographically measurable tumor masses are acceptable,0
study interventions are sirolimus, angioimmunoblastic cell lymphoma diagnosis and ecog performance status ps zero one or two,0
study interventions are methotrexate, lymphoma diagnosis and see disease characteristics,0
study interventions are dexamethasone 21-phosphate, multiple myeloma diagnosis and serum bilirubin less_than doc uln,0
study interventions are enzyme inhibitors, lymphoma diagnosis and no active hepatitis infection,0
study interventions are alemtuzumab, splenic marginal zone lymphoma diagnosis and must have failed two courses of therapy,0
study interventions are doxorubicin, noncontiguous stage ii grade two follicular lymphoma diagnosis and females of reproductive potential must adhere to the scheduled pregnancy testing as required in the lenalidomide rems program,0
study interventions are sirolimus, unspecified adult solid tumor protocol specific diagnosis and previously irradiated whole brain or gamma_knife brain metastases allowed provided there is no requirement for corticosteroids or anticonvulsants,0
study interventions are fludarabine, noncontiguous stage ii adult burkitt lymphoma diagnosis and patient has no existing zero one hla b drbone and dqbone matched related donor,0
study interventions are bevacizumab," stage iia ovarian cancer diagnosis and all patients enrolled into gog two hundred and sixty-two at sites where acrin six thousand, six hundred and ninety-five is open will be enrolled in the advanced imaging protocol patients receiving adjuvant or neoadjuvant chemotherapy are eligible for acrin six thousand, six hundred and ninety-five the following sentence does not apply to those patients entered after two eight two thousand and twelve",0
study interventions are sunitinib, stage multiple myeloma diagnosis and measurable disease as defined by at least one of the following,0
study interventions are fluorodeoxyglucose f18, stage iv rectal cancer diagnosis and patients with recurrent disease may have had prior surgery and or chemotherapy with no limit to the number of prior therapeutic procedures or chemotherapeutic regimens,0
study interventions are dexamethasone 21-phosphate, ovarian cancer diagnosis and signed informed consent,0
study interventions are docetaxel, breast cancer diagnosis and surgery,0
study interventions are melphalan, stage iii multiple myeloma diagnosis and participants must not have had prior transplant,0
study interventions are immunoglobulins, recurrent marginal zone lymphoma diagnosis and additional requirements for wm patients phase ii,0
study interventions are capecitabine, unspecified adult solid tumor protocol specific diagnosis and creatinine clearance greater_than fifty ml min,0
study interventions are gemcitabine, breast cancer diagnosis and disease characteristics,0
study interventions are etoposide, testicular lymphoma diagnosis and patients with previously harvested hematopoietic stem cells while in complete or partial remission or in the case of patients with stable or refractory disease are undergoing autologous transplantation because it has been recommended by their treating physician as representing their best treatment option with goal of at minimum of two ten six cluster of differentiation cd thirty-four positive peripheral primed stem cells per kilogram of actual body weight,0
study interventions are trebananib, adult angiosarcoma diagnosis and international normalized ratio inr equal_than less_than doc unless on warfarin,0
study interventions are bibw 2992 (afatinib), lung cancer diagnosis and patients eighteen years or older,0
study interventions are support group, breast cancer diagnosis and end of active treatments surgery chemotherapy and radiotherapy,0
study interventions are methotrexate, peripherial cell lymphoma not otherwise specified diagnosis and signed informed consent,0
study interventions are fluorouracil, cancer of larynx diagnosis and disease must be stage iii or iv,0
study interventions are sorafenib, stage iv malignant mesothelioma diagnosis and no hiv positive patients receiving combination anti retroviral therapy patients with immune deficiency are at increased risk of lethal infections when treated with marrow suppressive therapy therefore hiv positive patients receiving combination anti retroviral therapy are excluded from the study because of possible pharmacokinetic interactions with bay_forty-three nine thousand and six,0
study interventions are tacrolimus, contiguous stage ii adult lymphoblastic lymphoma diagnosis and philadelphia_chromosome positive ph positive metaphases greater_than zero but less_than thirty-five,0
study interventions are ethiodized oil, hepatocellular carcinoma diagnosis and child pugh class a,0
study interventions are imatinib mesylate, recurrent adult soft tissue sarcoma diagnosis and at least four weeks since any number of prior chemotherapy regimens six weeks for carmustine or mitomycin for recurrent metastatic disease,0
study interventions are mycophenolate mofetil, anaplastic large cell lymphoma diagnosis and with less_than six month duration of complete response cr between courses of conventional therapy,0
study interventions are camptothecin, colorectal cancer diagnosis and measurable disease defined as greater_than one lesion that can be accurately measured in greater_than one dimension longest diameter to be recorded as greater_than twenty mm with conventional techniques or as greater_than one0 mm with spiral ct scan,0
study interventions are mycophenolic acid, t cell non hodgkin lymphoma diagnosis and donor,0
study interventions are vinorelbine, stage childhood hodgkin lymphoma diagnosis and creatinine clearance or radioisotope glomerular filtration rate gfr greater_than equal_than seventy ml min doc three three,0
study interventions are vinorelbine, malignant paraganglioma diagnosis and female patients must not be pregnant due to the potential mutagenicity and teratogenicity of this treatment pregnancy test must be administered seven days prior to administration of therapy to women of childbearing potential patients must agree to use some form of contraception while on this study at initiation and for the duration of participation in the study sexually active males must also use reliable and appropriate method of contraception post menopausal women must be amenorrheic for at least twelve months to be considered of nonchildbearing potential,0
study interventions are vitamin b complex, blastic natural_killer nk lymphoma with skin lymph node or visceral involvement,0
study interventions are mycophenolic acid, hodgkin lymphoma diagnosis and examples include,0
study interventions are prednisolone, multiple myeloma and plasma cell neoplasm diagnosis and see disease characteristics,0
study interventions are mycophenolate mofetil, recurrent small lymphocytic lymphoma diagnosis and high risk crone for example but not limited to,0
study interventions are nonmyeloablative allogeneic hematopoietic stem cell transplantation, lymphoma diagnosis and total red blood cell mass greater_than twenty-five above mean normal predicted value or hemoglobin greater_than one doc dl in males one doc dl in females hematocrit greater_than sixty in males or greater_than fifty-six in females,0
study interventions are vincristine, stage childhood small noncleaved cell lymphoma diagnosis and bone marrow involvement with at least twenty-five blasts and or cns involvement meeting one or more of the following criteria,0
study interventions are carboplatin, ovarian cancer diagnosis and biologic therapy,0
study interventions are gemcitabine, stage iii pancreatic cancer diagnosis and negative pregnancy test,0
study interventions are cetuximab, stage iv squamous cell carcinoma of the lip and oral cavity diagnosis and inr less_than doc,0
study interventions are simvastatin, retinoblastoma diagnosis and two hundred and thirty units l,0
study interventions are melphalan, hepatosplenic cell lymphoma diagnosis and subjects must agree to use effective contraception from enrollment through completion of the study,0
study interventions are everolimus, stage ii small lymphocytic lymphoma diagnosis and failed flu_cy rituximab fcr combination chemotherapy at any time point or,0
study interventions are niacinamide, unspecified adult solid tumor protocol specific diagnosis and inr less_than doc,0
study interventions are jnj-38877605, neoplasms diagnosis and eastern cooperative oncology group performance status test score of less_than equal_than two,0
study interventions are prednisone, classical hodgkin lymphoma diagnosis and creatinine clearance or radioisotope glomerular filtration rate gfr greater_than equal_than seventy ml min doc three two or serum creatinine based on age gender as follows,0
study interventions are mycophenolic acid, stage grade one follicular lymphoma diagnosis and patients with renal failure are eligible however patients with renal compromise serum creatinine greater_than doc will likely have further compromise in renal function and may require hemodialysis which may be permanent due to the need to maintain adequate serum tacrolimus levels,0
study interventions are romidepsin, recurrent ewing sarcoma peripheral primitive neuroectodermal tumor diagnosis and not pregnant or nursing,0
study interventions are exercise intervention, stage oropharyngeal cancer diagnosis and written informed consent must be obtained from all participants prior to beginning therapy participants should have the ability to understand be willing to sign written informed consent document,0
study interventions are cediranib, recurrent nasopharyngeal keratinizing squamous cell carcinoma diagnosis and more than thirty days since prior participation in an investigational trial,0
study interventions are olaparib, breast cancer diagnosis and clinically or radiologically measurable or evaluable disease defined as,0
study interventions are pazopanib, carcinoma renal cell diagnosis and absolute neutrophil count greater_than one five hundred mcl,0
study interventions are busulfan, lymphoma diagnosis and age,0
